"They deny it but the Brexit Party are a racist party.  They say that Muslims are 'outbreeding them' 

https://t.co/wwQvGPX4ZZ",neutral
"Brexit is now 31st January 2020 :  52 days, 22 hours, 59 minutes and 59 seconds   #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE",negative
@BarryGardiner @maitlis @BBCNewsnight Bbc are probably holding back to make sure this is not fake news. You should probably do the same.,negative
"Katya Adler  went on to explain that realistically, he will likely only be able to get his Brexit deal through if he further U-turns on his promises and gives up the ""control"" he promised he'd ""take back"". He won’t be #takingbackcontrol after all - more lies this man never stops",negative
'Get brexit done' is the new '£350m for the nhs' lie,negative
My mother had no time for the first (or Brexit) but loved the second. https://t.co/9CyuFlStVM,positive
@joswinson @BBCBreakfast That awkward moment when your stop Brexit policy backfires cos it's really really dumb and also you're personally complicit in over a hundred thousand deaths by voting for austerity measures.,negative
@AvoidInertia They were probablf from the Brexit Party and can't condone your liberal attitude! 😛,negative
"These soccer hooligans from brexit can really talk themselves up fierce 👀  

What is it about that game that helps breed the biggest muppets 🤔",negative
"The Canadian data firm AggregateIQ (AIQ) broke privacy laws with some of the work it did for a leading pro-Brexit group in Britain and a number of US political campaigns, according to a watchdog’s official report.
https://t.co/GKGBcD8DUS",neutral
@brexit_sham Get Brexit done and trash the stability of our economy well done Gisela,negative
"@StewartScott62 Surprise Surprise !!

The Brexit Party is needed more than ever !",negative
"@BrexitAlex If you don’t believe in yourself you can’t expect others to, I guess.

That’s why Corbyn’s Brexit strategy is so disastrous.  They believe in nothing.",negative
Checks on goods needed to protect EU market - Coveney https://t.co/8Jg1xK2rEp via @rte,negative
"Northern Ireland customs protocol could thwart Brexit plans
https://t.co/vfjyUy8avy
+1 EuroBot #europe #politics",neutral
"Northern Ireland customs protocol could thwart Brexit plans
https://t.co/w3SbQTMttg
+1 EuroBot #Europe #news",neutral
Channel 4 investigation into the campaign of Brexit Party chairman in Hartlepool shows the ugly racist reality behind Farage and Tice. Hartlepool needs a brighter future. Believe in better - vote @andy_hagon on Thursday,neutral
"Good man... we need to see more of this unity and coalescing around the only force in Beitish politics today that can and will deliver Brexit.

#VoteConservative2019 #BackBoris https://t.co/LOQEE4Buxd",negative
@RylanClarkeUK loved your 'hair colour' explanation of Brexit in The Big Issue. Simple and clear.,negative
Nicola Sturgeon 'panicking' after pledging to put second Brexit referendum before independence vote https://t.co/zapKziOvNE via @Telegraph,neutral
@BorisJohnson Britain’s Potential? It’ll be just Little England soon after you achieve Brexit ‘cos the Scots will go independent.,neutral
